course_name,course_id,course_basic_information,pre_required_courses,semesterial_data,time,is_manadatory_ds,is_manadatory_ie,is_manadatory_se,time_category
94219 - Software Engineering,94219,"Software Development Methods in Large Systems With Introduction To
Design and Programming in Object-oriented Methodology. The Course
Will Be Taught Using The Java Programming Language.","['234111 - Introduction to Computer Science', '234117 - Introduction to Computer Science H', '234221 - Introduction to Computer Science N']","['234111 - Introduction to Computer Science or 234117 - Introduction to Computer Science H or 234221 - Introduction to Computer Science N', '44101 - Introduction to Software Systems\n94201 - Introductio to Data Science\n94220\n96609 - Quan. Models in Behavioral Sciences\n234121\n234122 - Introduction to Systems Programming\n234124 - Introduction to Systems Programming', '3.5 Academic Credit\n                             • 3 Lecture Hours\n                            \n                             • 2 Lab Hours', 'Ahmad Jbara', '3.5 Academic Credit\n                             • 3 Lecture Hours\n                            \n                             • 2 Lab Hours', 'Ahmad Jbara', '3.5 Academic Credit\n                             • 3 Lecture Hours\n                            \n                             • 2 Lab Hours', 'Ahmad Jbara']",09:00:00,True,True,True,M
94222 - Model-based Systems Engineering,94222,"The Course Introduces Principles and Applications of Model-based
Systems Engineering, The Modern Approach to Architecting Complex
Systems Involving Humans, Hardware and Software Using Opm Iso-19450
Standard For Modeling and Designing Systems. Topics# Object, Process,
State, System Structure, Behavior and Function, Beneficiary,
Environment, Complexity Management, Textual-graphical
Representations, Structural and Procedural Relations.",[],"['3.5 Academic Credit\n                             • 2 Lecture Hours\n                            \n                             • 1 Lab Hours\n                             • 2 Project Hours', 'Niva Wengrowicz', '3.5 Academic Credit\n                             • 2 Lecture Hours\n                            \n                             • 1 Lab Hours\n                             • 2 Project Hours', 'Niva Wengrowicz', '3.5 Academic Credit\n                             • 2 Lecture Hours\n                            \n                             • 1 Lab Hours\n                             • 2 Project Hours', 'Niva Wengrowicz']",17:00:00,False,False,False,E
94224 - Data Structures and Algorithms,94224,"The Course Deals With Fundamental Concepts in Designing and Analyzing
Data Structures and Algorithms. Topics# Sorting Algorithms,
Fundamental Data Structures# Stack, Queue, Binary Tree Data
Structures Including Universal Hashing, Basic Graph Algorithms#
Searching, Shortest Paths, Minimum Spanning Tree, Dynamic Programing.","['94201 - Introductio to Data Science', '94345 - Discrete Mathematics (for I.e)', '94219 - Software Engineering', '94347 - Discrete Mathematics', '94219 - Software Engineering', '94345 - Discrete Mathematics (for I.e)']","['(94201 - Introductio to Data Science and 94345 - Discrete Mathematics (for I.e)) or (94219 - Software Engineering and 94347 - Discrete Mathematics) or (94219 - Software Engineering and 94345 - Discrete Mathematics (for I.e))', '94411 - Probability (ie)\n94412 - Probability (advanced)', '44268 - Int. to Data Structur and Algorithms\n94223 - מבני נתונים ואלגוריתמים\n234218 - Data Structures 1\n234246\n234247 - Algorithms 1', '94223 - מבני נתונים ואלגוריתמים\n94226 - Introduction to Algorithms', '4 Academic Credit\n                             • 3 Lecture Hours\n                             • 2 Discussion Hours', 'Yuval Emek', '4 Academic Credit\n                             • 3 Lecture Hours\n                             • 2 Discussion Hours', 'Yuval Gil', '4 Academic Credit\n                             • 3 Lecture Hours\n                             • 2 Discussion Hours', 'Yuval Emek']",13:00:00,True,True,True,N
94241 - Database Management,94241,"The Course Covers Basic Topics in Relational Database Management,
Including Design Using Erd and Normalization, Querying in Sql,
And Introduction to Transaction Management. The Student Will Be
Involved in The Design and Development of a Database.","['94345 - Discrete Mathematics (for I.e)', '94700 - Introduction to Data Science and Engin.', '94345 - Discrete Mathematics (for I.e)', '234221 - Introduction to Computer Science N', '94347 - Discrete Mathematics', '234221 - Introduction to Computer Science N']","['(94345 - Discrete Mathematics (for I.e) and 94700 - Introduction to Data Science and Engin.) or (94345 - Discrete Mathematics (for I.e) and 234221 - Introduction to Computer Science N) or (94347 - Discrete Mathematics and 234221 - Introduction to Computer Science N)', '94240 - ניהול מסדי נתונים\n236363 - Databases', '3 Academic Credit\n                             • 2 Lecture Hours\n                             • 1 Discussion Hours\n                             • 1 Lab Hours', 'Batya Kenig', '3 Academic Credit\n                             • 2 Lecture Hours\n                             • 1 Discussion Hours\n                             • 1 Lab Hours', 'Avigdor Gal', '3 Academic Credit\n                             • 2 Lecture Hours\n                             • 1 Discussion Hours\n                             • 1 Lab Hours', 'Batya Kenig']",15:00:00,True,False,True,N
94288 - Ethical Issues in Data Responsibility,94288,"We Examine Issues in The Intersection of Law, Ethics, and Technology
That Arise From The Use of Data Systems. Case Studies On Subjects
Such As Liability, Discrimination, Privacy, and Content Management
Are Used to Understand The Need For Dialog Among These Disciplines.
These Case Studies Will Be Used to Form The Foundation of a Dialog.","['96224 - Distributed Data Management', '96411 - Machine Learning 1']","['(96224 - Distributed Data Management and 96411 - Machine Learning 1)', '2.5 Academic Credit\n                             • 2 Lecture Hours\n                             • 1 Discussion Hours', 'Avigdor Gal', '2.5 Academic Credit\n                             • 2 Lecture Hours\n                             • 1 Discussion Hours', 'Avigdor Gal', '2.5 Academic Credit\n                             • 2 Lecture Hours\n                             • 1 Discussion Hours', 'Carmel Domshlak']",18:30:00,False,False,False,E
94290 - Data Gathering and Management Lab,94290,"The Grade Will Be Determined Based On Continuous Work During The
Semester and Bi-weekly Reports. The Lab Covers The Following Topics#
Data Gathering From Sensors, Load Shedding, Reading From an Input
File and Partitioning Into Data Strams, Data Cleaning, Cloud
Computing, Nosql Databases, Map-reduce, and Hadoop.",['96224 - Distributed Data Management'],"['96224 - Distributed Data Management', '3 Academic Credit\n                            \n                            \n                             • 4 Lab Hours\n                             • 4 Project Hours', 'Noam Cohen', '3 Academic Credit\n                            \n                            \n                             • 4 Lab Hours\n                             • 4 Project Hours', '3 Academic Credit\n                            \n                            \n                             • 4 Lab Hours\n                             • 4 Project Hours']",0,True,False,False,M
94295 - Data Analysis and Visualization,94295,"Methodology and Practice of Building Data Analysis Systems For Large-
Scale Data Using Statistical Tools (e.g., Regression) and Learning
Tools (clustering and Classification). The Map Reduce Methodology
Will Be Used For Data Analysis, and Tools Such As Search Engines And
Databases Will Be Integrated. Paradigms For Visualization of Analysis
Results Will Be Employed.","['94290 - Data Gathering and Management Lab', '97209 - Machine Learning 2']","['(94290 - Data Gathering and Management Lab and 97209 - Machine Learning 2)', '3 Academic Credit\n                            \n                            \n                             • 4 Lab Hours\n                             • 4 Project Hours', 'Bar Genossar', '3 Academic Credit\n                            \n                            \n                             • 4 Lab Hours\n                             • 4 Project Hours', 'Tamir Hazan', '3 Academic Credit\n                            \n                            \n                             • 4 Lab Hours\n                             • 4 Project Hours']",0,True,False,False,M
94312 - Deterministic Mod.in Operations Research,94312,"Methodology of Operations Research. Distribution Problems and The
Transportation Method. Linear Programming. Formulating Various
Problems As Linear and Integer Programming Models. C.p.m. Maximal
Flow and Other Network Models. Integer Programming and Branch And
Bound Method.","['104016 - Algebra 1/extended', '234221 - Introduction to Computer Science N', '104019 - Linear Algebra M', '234221 - Introduction to Computer Science N', '104019 - Linear Algebra M', '234111 - Introduction to Computer Science']","['(104016 - Algebra 1/extended and 234221 - Introduction to Computer Science N) or (104019 - Linear Algebra M and 234221 - Introduction to Computer Science N) or (104019 - Linear Algebra M and 234111 - Introduction to Computer Science)', '94313 - Deterministic Models in Oper.research\n94380\n96390\n96609 - Quan. Models in Behavioral Sciences', '94390\n95606', '4 Academic Credit\n                             • 3 Lecture Hours\n                             • 2 Discussion Hours', 'Shimrit Shtern']",13:00:00,False,True,True,N
94313 - Deterministic Models in Oper.research,94313,"Methodology of Operations Research. Distribution Problems and The
Transportation Method. Linear Programming. Formulating Various
Problems As Linear and Integer Programming Models. C.p.m. Maximal
Flow and Other Network Models. Integer Programming and Branch And
Bound Method. Dynamic Programming.","['104016 - Algebra 1/extended', '234221 - Introduction to Computer Science N', '104019 - Linear Algebra M', '234221 - Introduction to Computer Science N', '104019 - Linear Algebra M', '234111 - Introduction to Computer Science']","['(104016 - Algebra 1/extended and 234221 - Introduction to Computer Science N) or (104019 - Linear Algebra M and 234221 - Introduction to Computer Science N) or (104019 - Linear Algebra M and 234111 - Introduction to Computer Science)', '94312 - Deterministic Mod.in Operations Research\n94380\n96390\n96609 - Quan. Models in Behavioral Sciences', '94390\n95606', '3.5 Academic Credit\n                             • 3 Lecture Hours\n                             • 2 Discussion Hours', 'Shimrit Shtern', '3.5 Academic Credit\n                             • 3 Lecture Hours\n                             • 2 Discussion Hours', 'Shimrit Shtern', '3.5 Academic Credit\n                             • 3 Lecture Hours\n                             • 2 Discussion Hours']",13:00:00,False,False,False,N
94314 - Stochastic Models in Oper.research,94314,"This Course Is Concerned With The Construction of Mathematical
Models of Stochastic Systems and Includes The Basic Concepts Of
The Theory of Stochastic Processes.  The Course Concentrates On
The Following Topics#  Counting Processes (bernoulli, Poisson
Processes), Markov Jump Processes.  Markovian Queueing Processes, Etc#
Markov Chains.  in Addition, The Course Contains an Introduction To
Queueing Theory, Dealing Mainly With Single Server Queues (m/m/1
And M/g/1 Models).","['94411 - Probability (ie)', '104019 - Linear Algebra M', '234111 - Introduction to Computer Science', '94411 - Probability (ie)', '104019 - Linear Algebra M', '234221 - Introduction to Computer Science N', '94411 - Probability (ie)', '104016 - Algebra 1/extended', '234221 - Introduction to Computer Science N', '94412 - Probability (advanced)', '104166 - Algebra Am', '234117 - Introduction to Computer Science H']","['(94411 - Probability (ie) and 104019 - Linear Algebra M and 234111 - Introduction to Computer Science) or (94411 - Probability (ie) and 104019 - Linear Algebra M and 234221 - Introduction to Computer Science N) or (94411 - Probability (ie) and 104016 - Algebra 1/extended and 234221 - Introduction to Computer Science N) or (94412 - Probability (advanced) and 104166 - Algebra Am and 234117 - Introduction to Computer Science H)', '94390', '3.5 Academic Credit\n                             • 3 Lecture Hours\n                             • 1 Discussion Hours', 'Leonid Mytnik', '3.5 Academic Credit\n                             • 3 Lecture Hours\n                             • 1 Discussion Hours', 'Leonid Mytnik', '3.5 Academic Credit\n                             • 3 Lecture Hours\n                             • 1 Discussion Hours', 'Itai Arieli']",11:00:00,True,True,True,M
94333 - Dynamic Models in Operations Research,94333,"Difference and Differential Equations With Constant Coefficients,
Systems of Difference and Differential Equations With Constant
Coefficients, Introduction to Dynamic Programming, Introduction To
Integer Programming, Totally Unimodular Systems and Their
Applications, Gomory Cut Method, Branch and Bound Method
And Its Applications.","['94345 - Discrete Mathematics (for I.e)', '104022 - Differential and Integral Calculus 2m', '94346 - Discrete Mathematics', '104020 - Calculus 2n', '94347 - Discrete Mathematics', '104022 - Differential and Integral Calculus 2m']","['(94345 - Discrete Mathematics (for I.e) and 104022 - Differential and Integral Calculus 2m) or (94346 - Discrete Mathematics and 104020 - Calculus 2n) or (94347 - Discrete Mathematics and 104022 - Differential and Integral Calculus 2m)', '94312 - Deterministic Mod.in Operations Research\n94313 - Deterministic Models in Oper.research', '34019\n34032 - Linear Systems M\n44130 - Signals and Systems\n44190\n44194\n94323 - Dynamic Models in Operations Research\n104131 - Ordinary Differential Equations/h\n104135 - Ordinary Differential Equations/t\n104213\n104285 - Ordinary Differential Equations A', '3 Academic Credit\n                             • 3 Lecture Hours\n                             • 1 Discussion Hours', 'Shmuel Onn', '3 Academic Credit\n                             • 3 Lecture Hours\n                             • 1 Discussion Hours', 'Shmuel Onn', '3 Academic Credit\n                             • 3 Lecture Hours\n                             • 1 Discussion Hours']",13:00:00,False,False,False,N
94345 - Discrete Mathematics (for I.e),94345,"Basic Concepts in Logic, Mathematical Proving Methods. Set Theory#
Basic Definitions, Relations, Equivalence Relations, Order
Relations, Functions, Cardinals, Cantor's Diagonalization.
Combinatorics# Basic Counting Principles, Newton's Binomial,
Inclusion - Exclusion Principle, Recurrence Relations.",[],"['44114 - Discrete Mathematics Ee\n94344 - Discrete Mathematics (for I.e)\n94346 - Discrete Mathematics\n104002 - Basic Concepts in Mathematics\n104286 - Combinatorics\n234129 - Int. to Set Theory and Automata For Cs\n234141 - Combinatorics For Cs\n234144\n234292 - Logic For Cs\n234293 - Logic and Set Theory For Cs', '94347 - Discrete Mathematics', '4 Academic Credit\n                             • 3 Lecture Hours\n                             • 2 Discussion Hours', 'Nadav Hallak', '4 Academic Credit\n                             • 3 Lecture Hours\n                             • 2 Discussion Hours', 'Gal Mendelson', '4 Academic Credit\n                             • 3 Lecture Hours\n                             • 2 Discussion Hours', 'Nadav Hallak']",14:00:00,True,True,True,N
94395 - Design Project Proposal,94395,"Groups of Students Will Prepare a Design Project Proposal Whose Aim Is
To Apply The Knowledge, Techniques, and Other Tools Acquired In
Previous Course Work (including The Ability For Self-study,
Cooperation). The Proposal Will Include a Literature Survey,
Description of The Existing Situation and Problem, Methodology,
Difficulties, Comparison to Alternative Solutions, and The Potential
Benefits of The Proposed Solutions.","['94222 - Model-based Systems Engineering', '94224 - Data Structures and Algorithms', '94222 - Model-based Systems Engineering', '94313 - Deterministic Models in Oper.research', '94222 - Model-based Systems Engineering', '94312 - Deterministic Mod.in Operations Research', '95140 - Project Planning and Management', '96250 - Distributed Information Systems']","['(94222 - Model-based Systems Engineering and 94224 - Data Structures and Algorithms) or (94222 - Model-based Systems Engineering and 94313 - Deterministic Models in Oper.research) or (94222 - Model-based Systems Engineering and 94312 - Deterministic Mod.in Operations Research) or (95140 - Project Planning and Management and 96250 - Distributed Information Systems)', '95140 - Project Planning and Management\n96250 - Distributed Information Systems', '94189 - Design Project Proposal\n96700 - Organizational Practicum', '1.5 Academic Credit\n                             • 1 Lecture Hours\n                            \n                            \n                             • 6 Project Hours', 'Niva Wengrowicz', '1.5 Academic Credit\n                             • 1 Lecture Hours\n                            \n                            \n                             • 6 Project Hours', 'Niva Wengrowicz', '1.5 Academic Credit\n                             • 1 Lecture Hours\n                            \n                            \n                             • 6 Project Hours', 'Haim Cohen']",17:30:00,False,False,True,E
94396 - Design Project 1,94396,"Teams of Students Will Apply Skills From Their Degree in Order To
Implement The Project Proposal Developed in The Preceding Course To
Solve a Real-world Problem in Information Systems (in The Broad
Sense). The Grade Will Be Based On The Quality of The Solution
(including Originality, Efficiency,  Ease of Use), The Quality of The
Presentation, and The Level of Knowledge and Skill Demonstrated.",['94395 - Design Project Proposal'],"['94395 - Design Project Proposal', '94195 - Design Project 1\n96700 - Organizational Practicum', '3.5 Academic Credit\n                             • 2 Lecture Hours\n                            \n                            \n                             • 6 Project Hours', 'Niva Wengrowicz', '3.5 Academic Credit\n                             • 2 Lecture Hours\n                            \n                            \n                             • 6 Project Hours', 'Niva Wengrowicz', '3.5 Academic Credit\n                             • 2 Lecture Hours\n                            \n                            \n                             • 6 Project Hours', 'Haim Cohen']",17:30:00,False,False,True,E
94411 - Probability (ie),94411,"תורת ההסתברות כמודל מתמטי לתופעות מקריות, מרחבי הסתברות, הסתברות
מותנית, אי תלות, משתנים מקריים ופונקציות התפלגות, התפלגויות
נפוצות בשימושים: בינומית, גיאומטרית פואסונית, אחידה, אקספוננציאלית,
גאמא, נורמלית ובאטא. תוחלת ומומנטים. התפלגויות רב ממדיות,
קוויריאנס, סטטיסטי הסדר, פונקציות של משתנים מקריים, ההתפלגות
הנורמלית הרב מימדית, התמרות ושימושיהן בתורת ההסתברות, סכום של
משתנים מקריים, חוק המספרים הגדולים, משפט הגבול המרכזי ושימושו
לקרובים.","['104017 - Calculus 1n', '104018 - Differential and Integral Calculus 1m', '104031 - Calculus 1m', '104195 - Infinitesimal Calculus 1']","['104017 - Calculus 1n or 104018 - Differential and Integral Calculus 1m or 104031 - Calculus 1m or 104195 - Infinitesimal Calculus 1', '104020 - Calculus 2n\n104022 - Differential and Integral Calculus 2m\n104032 - Calculus 2m\n104281 - Infinitesimal Calculus 2', ""94412 - Probability (advanced)\n94417 - הסתברות א'\n94491\n94492\n104034 - Introduction to Probability H\n104222 - Probability Theory"", '94480 - מבוא להסתברות וסטטיסטיקה\n94481 - Int.to Probability and Statistics', '4 Academic Credit\n                             • 3 Lecture Hours\n                             • 2 Discussion Hours', 'Daniel Rabayev', '4 Academic Credit\n                             • 3 Lecture Hours\n                             • 2 Discussion Hours', 'Tamar Margalit', '4 Academic Credit\n                             • 3 Lecture Hours\n                             • 2 Discussion Hours', 'Oren Louidor']",11:00:00,False,True,True,M
94412 - Probability (advanced),94412,"Probability Spaces. Conditional Probability. Random Variables.
Transformation of Random Variables. Expectations and Moments. Discrete
And Continuous Distributions. Vector of Random Variablrs And
Their Joint Distributions. Characteristic Functions and Limit
Theorems. Conditional Distributions and Expectations.","['104017 - Calculus 1n', '104018 - Differential and Integral Calculus 1m', '104031 - Calculus 1m', '104195 - Infinitesimal Calculus 1']","['104017 - Calculus 1n or 104018 - Differential and Integral Calculus 1m or 104031 - Calculus 1m or 104195 - Infinitesimal Calculus 1', '104020 - Calculus 2n\n104022 - Differential and Integral Calculus 2m\n104032 - Calculus 2m\n104281 - Infinitesimal Calculus 2', ""94411 - Probability (ie)\n94417 - הסתברות א'\n94491\n94492\n104034 - Introduction to Probability H\n104222 - Probability Theory"", '94480 - מבוא להסתברות וסטטיסטיקה\n94481 - Int.to Probability and Statistics', '4 Academic Credit\n                             • 3 Lecture Hours\n                             • 2 Discussion Hours', 'Eviatar Procaccia', '4 Academic Credit\n                             • 3 Lecture Hours\n                             • 2 Discussion Hours', 'Oren Louidor', '4 Academic Credit\n                             • 3 Lecture Hours\n                             • 2 Discussion Hours', 'Oren Louidor']",15:30:00,True,False,False,N
94423 - Introduction to Statistics,94423,"Descriptive Statistics and Grafical Methods. Point Estimation,
Interval Estimation and Hypothesis Tests. Non-parametric Tests.
Basics of Sampling. Linear Regression and Correlation.","['94411 - Probability (ie)', '94412 - Probability (advanced)', '104034 - Introduction to Probability H']","['94411 - Probability (ie) or 94412 - Probability (advanced) or 104034 - Introduction to Probability H', '94424 - Statistics 1\n94490\n334023 - Int. to Statistics For Biomedical Eng.', '94429\n94480 - מבוא להסתברות וסטטיסטיקה\n94481 - Int.to Probability and Statistics\n94493', '46010 - Statistical Inference', '3.5 Academic Credit\n                             • 3 Lecture Hours\n                             • 1 Discussion Hours', 'Nadia Bordo', '3.5 Academic Credit\n                             • 3 Lecture Hours\n                             • 1 Discussion Hours', 'Marina Bogomolov', '3.5 Academic Credit\n                             • 3 Lecture Hours\n                             • 1 Discussion Hours', 'Nadia Bordo']",11:30:00,False,False,False,M
